sepal length (cm);sepal width (cm);petal length (cm)
0.2222222222222221;0.625;0.0701754385964912
0.16666666666666674;0.41666666666666674;0.0701754385964912
0.11111111111111116;0.5;0.05263157894736842
0.08333333333333326;0.45833333333333326;0.08771929824561403
0.19444444444444442;0.6666666666666667;0.0701754385964912
0.3055555555555556;0.7916666666666665;0.12280701754385964
0.08333333333333326;0.5833333333333333;0.0701754385964912
0.19444444444444442;0.5833333333333333;0.08771929824561403
0.0277777777777779;0.375;0.0701754385964912
0.16666666666666674;0.45833333333333326;0.08771929824561403
0.3055555555555556;0.7083333333333333;0.08771929824561403
0.13888888888888884;0.5833333333333333;0.10526315789473684
0.13888888888888884;0.41666666666666674;0.0701754385964912
0.0;0.41666666666666674;0.017543859649122834
0.4166666666666665;0.8333333333333333;0.03508771929824561
0.38888888888888884;1.0;0.08771929824561403
0.3055555555555556;0.7916666666666665;0.05263157894736842
0.2222222222222221;0.625;0.0701754385964912
0.38888888888888884;0.7499999999999998;0.12280701754385964
0.2222222222222221;0.7499999999999998;0.08771929824561403
0.3055555555555556;0.5833333333333333;0.12280701754385964
0.2222222222222221;0.7083333333333333;0.08771929824561403
0.08333333333333326;0.6666666666666667;0.0
0.2222222222222221;0.5416666666666665;0.12280701754385964
0.13888888888888884;0.5833333333333333;0.15789473684210525
0.19444444444444442;0.41666666666666674;0.10526315789473684
0.19444444444444442;0.5833333333333333;0.10526315789473684
0.25;0.625;0.08771929824561403
0.25;0.5833333333333333;0.0701754385964912
0.11111111111111116;0.5;0.10526315789473684
0.13888888888888884;0.45833333333333326;0.10526315789473684
0.3055555555555556;0.5833333333333333;0.08771929824561403
0.25;0.8749999999999998;0.08771929824561403
0.33333333333333326;0.9166666666666667;0.0701754385964912
0.16666666666666674;0.45833333333333326;0.08771929824561403
0.19444444444444442;0.5;0.03508771929824561
0.33333333333333326;0.625;0.05263157894736842
0.16666666666666674;0.6666666666666667;0.0701754385964912
0.0277777777777779;0.41666666666666674;0.05263157894736842
0.2222222222222221;0.5833333333333333;0.08771929824561403
0.19444444444444442;0.625;0.05263157894736842
0.05555555555555558;0.12499999999999989;0.05263157894736842
0.0277777777777779;0.5;0.05263157894736842
0.19444444444444442;0.625;0.10526315789473684
0.2222222222222221;0.7499999999999998;0.10526315789473684
0.13888888888888884;0.41666666666666674;0.0701754385964912
0.2222222222222221;0.7499999999999998;0.10526315789473684
0.08333333333333326;0.5;0.0701754385964912
0.2777777777777777;0.7083333333333333;0.08771929824561403
0.19444444444444442;0.5416666666666665;0.0701754385964912
0.75;0.5;0.6491228070175439
0.5833333333333335;0.5;0.6140350877192983
0.7222222222222223;0.45833333333333326;0.6842105263157895
0.33333333333333326;0.12499999999999989;0.5263157894736842
0.6111111111111112;0.33333333333333326;0.6315789473684209
0.38888888888888884;0.33333333333333326;0.6140350877192983
0.5555555555555556;0.5416666666666665;0.6491228070175439
0.16666666666666674;0.16666666666666663;0.4035087719298245
0.6388888888888888;0.375;0.6315789473684209
0.25;0.29166666666666674;0.5087719298245613
0.19444444444444442;0.0;0.4385964912280701
0.44444444444444464;0.41666666666666674;0.5614035087719298
0.4722222222222223;0.08333333333333337;0.5263157894736842
0.4999999999999998;0.375;0.6491228070175439
0.36111111111111094;0.375;0.45614035087719296
0.6666666666666667;0.45833333333333326;0.5964912280701755
0.36111111111111094;0.41666666666666674;0.6140350877192983
0.4166666666666665;0.29166666666666674;0.5438596491228069
0.5277777777777779;0.08333333333333337;0.6140350877192983
0.36111111111111094;0.20833333333333326;0.5087719298245613
0.44444444444444464;0.5;0.6666666666666666
0.4999999999999998;0.33333333333333326;0.5263157894736842
0.5555555555555556;0.20833333333333326;0.6842105263157895
0.4999999999999998;0.33333333333333326;0.6491228070175439
0.5833333333333335;0.375;0.5789473684210525
0.6388888888888888;0.41666666666666674;0.5964912280701755
0.6944444444444444;0.33333333333333326;0.6666666666666666
0.6666666666666667;0.41666666666666674;0.7017543859649122
0.4722222222222223;0.375;0.6140350877192983
0.38888888888888884;0.25;0.4385964912280701
0.33333333333333326;0.16666666666666663;0.49122807017543857
0.33333333333333326;0.16666666666666663;0.4736842105263158
0.4166666666666665;0.29166666666666674;0.5087719298245613
0.4722222222222223;0.29166666666666674;0.719298245614035
0.3055555555555556;0.41666666666666674;0.6140350877192983
0.4722222222222223;0.5833333333333333;0.7426900584795322
0.6666666666666667;0.45833333333333326;0.6491228070175439
0.5555555555555556;0.12499999999999989;0.5964912280701755
0.36111111111111094;0.41666666666666674;0.5438596491228069
0.33333333333333326;0.20833333333333326;0.5263157894736842
0.33333333333333326;0.25;0.5964912280701755
0.4999999999999998;0.41666666666666674;0.6315789473684209
0.4166666666666665;0.25;0.5263157894736842
0.19444444444444442;0.12499999999999989;0.4035087719298245
0.36111111111111094;0.29166666666666674;0.52046783625731
0.38888888888888884;0.41666666666666674;0.5614035087719298
0.38888888888888884;0.375;0.5614035087719298
0.5277777777777779;0.375;0.5789473684210525
0.2222222222222221;0.20833333333333326;0.3508771929824561
0.38888888888888884;0.33333333333333326;0.5438596491228069
0.5555555555555556;0.5416666666666665;0.8771929824561403
0.4166666666666665;0.29166666666666674;0.719298245614035
0.7777777777777777;0.41666666666666674;0.8596491228070177
0.5555555555555556;0.375;0.807017543859649
0.6111111111111112;0.41666666666666674;0.8421052631578946
0.9166666666666665;0.41666666666666674;0.982456140350877
0.16666666666666674;0.20833333333333326;0.6140350877192983
0.833333333333333;0.375;0.9298245614035087
0.6666666666666667;0.20833333333333326;0.8421052631578946
0.8055555555555556;0.6666666666666667;0.8947368421052629
0.6111111111111112;0.5;0.719298245614035
0.5833333333333335;0.29166666666666674;0.7543859649122806
0.6944444444444444;0.41666666666666674;0.7894736842105262
0.38888888888888884;0.20833333333333326;0.7017543859649122
0.4166666666666665;0.33333333333333326;0.7660818713450293
0.5833333333333335;0.5;0.7543859649122806
0.6111111111111112;0.41666666666666674;0.7894736842105262
0.9444444444444442;0.7499999999999998;0.9999999999999999
0.9444444444444442;0.25;0.7660818713450293
0.4722222222222223;0.08333333333333337;0.7017543859649122
0.7222222222222223;0.5;0.8245614035087719
0.36111111111111094;0.33333333333333326;0.6842105263157895
0.9444444444444442;0.33333333333333326;0.9999999999999999
0.5555555555555556;0.29166666666666674;0.6842105263157895
0.6666666666666667;0.5416666666666665;0.8245614035087719
0.8055555555555556;0.5;0.8771929824561403
0.5277777777777779;0.33333333333333326;0.6666666666666666
0.4999999999999998;0.41666666666666674;0.6842105263157895
0.5833333333333335;0.33333333333333326;0.807017543859649
0.8055555555555556;0.41666666666666674;0.8421052631578946
0.8611111111111112;0.33333333333333326;0.8947368421052629
1.0;0.7499999999999998;0.9473684210526315
0.5833333333333335;0.33333333333333326;0.807017543859649
0.5555555555555556;0.33333333333333326;0.719298245614035
0.4999999999999998;0.25;0.807017543859649
0.9444444444444442;0.41666666666666674;0.8947368421052629
0.5555555555555556;0.5833333333333333;0.807017543859649
0.5833333333333335;0.45833333333333326;0.7894736842105262
0.4722222222222223;0.41666666666666674;0.6666666666666666
0.7222222222222223;0.45833333333333326;0.7719298245614036
0.6666666666666667;0.45833333333333326;0.807017543859649
0.7222222222222223;0.45833333333333326;0.719298245614035
0.4166666666666665;0.29166666666666674;0.719298245614035
0.6944444444444444;0.5;0.8596491228070177
0.6666666666666667;0.5416666666666665;0.8245614035087719
0.6666666666666667;0.41666666666666674;0.7368421052631579
0.5555555555555556;0.20833333333333326;0.7017543859649122
0.6111111111111112;0.41666666666666674;0.7368421052631579
0.5277777777777779;0.5833333333333333;0.7719298245614036
0.44444444444444464;0.41666666666666674;0.719298245614035
